timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673513822833,4571,HTTP Request,200,OK,W3 traffic 1-5,text,true,,119681,119,119,119,https://www.w3schools.com/,1925,0,1145
1673513823410,4120,HTTP Request,200,OK,W3 traffic 1-20,text,true,,119682,119,122,122,https://www.w3schools.com/,1542,0,571
1673513823337,4618,HTTP Request,200,OK,W3 traffic 1-18,text,true,,119681,119,131,131,https://www.w3schools.com/,759,0,651
1673513823050,4919,HTTP Request,200,OK,W3 traffic 1-11,text,true,,119681,119,131,131,https://www.w3schools.com/,1089,0,932
1673513823449,4638,HTTP Request,200,OK,W3 traffic 1-21,text,true,,119682,119,133,133,https://www.w3schools.com/,823,0,535
1673513822833,5300,HTTP Request,200,OK,W3 traffic 1-2,text,true,,119682,119,133,133,https://www.w3schools.com/,1517,0,1157
1673513823132,5053,HTTP Request,200,OK,W3 traffic 1-13,text,true,,119681,119,133,133,https://www.w3schools.com/,1338,0,848
1673513822893,5430,HTTP Request,200,OK,W3 traffic 1-7,text,true,,119681,119,135,135,https://www.w3schools.com/,1607,0,1094
1673513822833,5587,HTTP Request,200,OK,W3 traffic 1-3,text,true,,119681,119,137,137,https://www.w3schools.com/,1757,0,1153
1673513823769,4764,HTTP Request,200,OK,W3 traffic 1-29,text,true,,119681,119,139,139,https://www.w3schools.com/,901,0,209
1673513822971,5996,HTTP Request,200,OK,W3 traffic 1-9,text,true,,119681,119,148,148,https://www.w3schools.com/,2054,0,1016
1673513823298,5770,HTTP Request,200,OK,W3 traffic 1-17,text,true,,119682,119,150,150,https://www.w3schools.com/,1961,0,694
1673513823489,5612,HTTP Request,200,OK,W3 traffic 1-22,text,true,,119681,119,150,150,https://www.w3schools.com/,727,0,493
1673513822853,6670,HTTP Request,200,OK,W3 traffic 1-6,text,true,,119682,119,159,159,https://www.w3schools.com/,1606,0,1136
1673513823089,7156,HTTP Request,200,OK,W3 traffic 1-12,text,true,,119681,119,176,176,https://www.w3schools.com/,1840,0,891
1673513823651,7032,HTTP Request,200,OK,W3 traffic 1-26,text,true,,119681,119,186,186,https://www.w3schools.com/,426,0,339
1673513823568,8483,HTTP Request,200,OK,W3 traffic 1-24,text,true,,119682,119,220,220,https://www.w3schools.com/,517,0,415
1673513824328,8085,HTTP Request,200,OK,W3 traffic 1-43,text,true,,119682,119,228,228,https://www.w3schools.com/,3947,0,2826
1673513824450,8067,HTTP Request,200,OK,W3 traffic 1-46,text,true,,119682,119,229,229,https://www.w3schools.com/,3901,0,2726
1673513824698,8066,HTTP Request,200,OK,W3 traffic 1-52,text,true,,119682,119,231,231,https://www.w3schools.com/,3881,0,2654
1673513823210,10094,HTTP Request,200,OK,W3 traffic 1-15,text,true,,119682,119,230,230,https://www.w3schools.com/,859,0,770
1673513824770,9447,HTTP Request,200,OK,W3 traffic 1-54,text,true,,119681,119,229,229,https://www.w3schools.com/,3887,0,2634
1673513823013,11563,HTTP Request,200,OK,W3 traffic 1-10,text,true,,119682,119,228,228,https://www.w3schools.com/,2297,0,978
1673513825486,9371,HTTP Request,200,OK,W3 traffic 1-72,text,true,,119682,119,227,227,https://www.w3schools.com/,3849,0,2471
1673513823762,11146,HTTP Request,200,OK,W3 traffic 1-28,text,true,,119681,119,226,226,https://www.w3schools.com/,304,0,216
1673513825889,10816,HTTP Request,200,OK,W3 traffic 1-82,text,true,,119681,119,225,225,https://www.w3schools.com/,3906,0,2518
1673513824532,12224,HTTP Request,200,OK,W3 traffic 1-48,text,true,,119681,119,224,224,https://www.w3schools.com/,3962,0,2737
1673513822935,13928,HTTP Request,200,OK,W3 traffic 1-8,text,true,,119681,119,223,223,https://www.w3schools.com/,1735,0,1056
1673513824012,13205,HTTP Request,200,OK,W3 traffic 1-35,text,true,,119682,119,222,222,https://www.w3schools.com/,4892,0,3527
1673513823689,13559,HTTP Request,200,OK,W3 traffic 1-27,text,true,,119682,119,221,221,https://www.w3schools.com/,1392,0,296
1673513825250,14925,HTTP Request,200,OK,W3 traffic 1-66,text,true,,119681,119,220,220,https://www.w3schools.com/,6612,0,2477
1673513823370,16905,HTTP Request,200,OK,W3 traffic 1-19,text,true,,119681,119,219,219,https://www.w3schools.com/,1805,0,619
1673513825369,14960,HTTP Request,200,OK,W3 traffic 1-69,text,true,,119681,119,218,218,https://www.w3schools.com/,6606,0,2485
1673513826889,13542,HTTP Request,200,OK,W3 traffic 1-107,text,true,,119681,119,217,217,https://www.w3schools.com/,6621,0,2463
1673513828287,12435,HTTP Request,200,OK,W3 traffic 1-142,text,true,,119681,119,216,216,https://www.w3schools.com/,4152,0,2779
1673513828488,12451,HTTP Request,200,OK,W3 traffic 1-147,text,true,,119681,119,215,215,https://www.w3schools.com/,8272,0,2756
1673513826088,14935,HTTP Request,200,OK,W3 traffic 1-87,text,true,,119681,119,214,214,https://www.w3schools.com/,7988,0,2468
1673513827410,13721,HTTP Request,200,OK,W3 traffic 1-120,text,true,,119681,119,213,213,https://www.w3schools.com/,6818,0,2739
1673513827487,13789,HTTP Request,200,OK,W3 traffic 1-122,text,true,,119682,119,212,212,https://www.w3schools.com/,6913,0,2754
1673513823810,17966,HTTP Request,200,OK,W3 traffic 1-30,text,true,,119681,119,211,211,https://www.w3schools.com/,256,0,167
1673513825571,16295,HTTP Request,200,OK,W3 traffic 1-74,text,true,,119682,119,210,210,https://www.w3schools.com/,9367,0,2453
1673513824889,17285,HTTP Request,200,OK,W3 traffic 1-57,text,true,,119681,119,209,209,https://www.w3schools.com/,3924,0,2578
1673513826328,16385,HTTP Request,200,OK,W3 traffic 1-93,text,true,,119682,119,208,208,https://www.w3schools.com/,6687,0,2543
1673513825850,16997,HTTP Request,200,OK,W3 traffic 1-81,text,true,,119682,119,207,207,https://www.w3schools.com/,8039,0,3919
1673513826849,16283,HTTP Request,200,OK,W3 traffic 1-106,text,true,,119681,119,206,206,https://www.w3schools.com/,6561,0,2414
1673513830093,13872,HTTP Request,200,OK,W3 traffic 1-187,text,true,,119681,119,205,205,https://www.w3schools.com/,4171,0,2780
1673513826210,17764,HTTP Request,200,OK,W3 traffic 1-90,text,true,,119682,119,204,204,https://www.w3schools.com/,6711,0,2574
1673513825610,18554,HTTP Request,200,OK,W3 traffic 1-75,text,true,,119682,119,203,203,https://www.w3schools.com/,3851,0,2457
1673513824052,20208,HTTP Request,200,OK,W3 traffic 1-36,text,true,,119682,119,202,202,https://www.w3schools.com/,4949,0,3563
1673513823858,20824,HTTP Request,200,OK,W3 traffic 1-31,text,true,,119681,119,201,201,https://www.w3schools.com/,1580,0,170
1673513825090,20521,HTTP Request,200,OK,W3 traffic 1-62,text,true,,119681,119,200,200,https://www.w3schools.com/,8066,0,2544
1673513828087,18058,HTTP Request,200,OK,W3 traffic 1-137,text,true,,119681,119,199,199,https://www.w3schools.com/,6966,0,2792
1673513831328,15180,HTTP Request,200,OK,W3 traffic 1-218,text,true,,119681,119,198,198,https://www.w3schools.com/,6934,0,2782
1673513826169,20419,HTTP Request,200,OK,W3 traffic 1-89,text,true,,119681,119,197,197,https://www.w3schools.com/,9367,0,2458
1673513831448,15297,HTTP Request,200,OK,W3 traffic 1-221,text,true,,119681,119,196,196,https://www.w3schools.com/,8326,0,2780
1673513828849,18015,HTTP Request,200,OK,W3 traffic 1-156,text,true,,119681,119,195,195,https://www.w3schools.com/,8001,0,2781
1673513827888,19071,HTTP Request,200,OK,W3 traffic 1-132,text,true,,119681,119,194,194,https://www.w3schools.com/,11514,0,4534
1673513826969,20377,HTTP Request,200,OK,W3 traffic 1-109,text,true,,119681,119,193,193,https://www.w3schools.com/,9329,0,2434
1673513828168,19429,HTTP Request,200,OK,W3 traffic 1-139,text,true,,119681,119,192,192,https://www.w3schools.com/,9722,0,4192
1673513829647,17967,HTTP Request,200,OK,W3 traffic 1-176,text,true,,119681,119,191,191,https://www.w3schools.com/,6897,0,2759
1673513829810,17967,HTTP Request,200,OK,W3 traffic 1-180,text,true,,119681,119,190,190,https://www.w3schools.com/,8285,0,2771
1673513825050,23174,HTTP Request,200,OK,W3 traffic 1-61,text,true,,119681,119,189,189,https://www.w3schools.com/,10696,0,5173
1673513827170,21191,HTTP Request,200,OK,W3 traffic 1-114,text,true,,119681,119,188,188,https://www.w3schools.com/,3954,0,2564
1673513826451,22000,HTTP Request,200,OK,W3 traffic 1-96,text,true,,119681,119,187,187,https://www.w3schools.com/,3919,0,2535
1673513828529,20052,HTTP Request,200,OK,W3 traffic 1-148,text,true,,119681,119,186,186,https://www.w3schools.com/,8272,0,2741
1673513824370,24632,HTTP Request,200,OK,W3 traffic 1-44,text,true,,119681,119,185,185,https://www.w3schools.com/,9356,0,3804
1673513828331,20751,HTTP Request,200,OK,W3 traffic 1-143,text,true,,119681,119,184,184,https://www.w3schools.com/,4154,0,2770
1673513829207,20311,HTTP Request,200,OK,W3 traffic 1-165,text,true,,119682,119,183,183,https://www.w3schools.com/,12025,0,3768
1673513829130,20732,HTTP Request,200,OK,W3 traffic 1-163,text,true,,119682,119,182,182,https://www.w3schools.com/,9689,0,2768
